S11R,S11I,S12R,S12I,S21R,S21I,S22R,S22I,S11_Mag,S11_Ang,S12_Mag,S12_Ang,S21_Mag,S21_Ang,S22_Mag,S22_Ang,sourcefile,MHz
-0.934082097753,0.161810773255,0.0559722815958,0.152848279019,0.0561769410978,0.153276575681,-0.890276399423,0.0509370405037,-0.4638908,170.1722,-15.76828,69.88752,-15.7431,69.87176,-0.9953092,176.7254,8117A_E1.0_B8_1,192.55625
-0.933651660832,0.16251678835,0.0563469284682,0.153608850078,0.0565580905192,0.15405766767,-0.889943951126,0.0527243353037,-0.4666702,170.1257,-15.72341,69.85591,-15.69722,69.84066,-0.9975302,176.6095,8117A_E1.0_B8_1,192.925
-0.933319256739,0.163328427112,0.0567048433467,0.154388437667,0.0569440851848,0.154854555757,-0.889568497677,0.0545158703724,-0.4683926,170.0739,-15.67813,69.83238,-15.65071,69.8102,-1.000132,176.4931,8117A_E1.0_B8_1,193.29375
-0.932963673632,0.16416753974,0.057105704038,0.155158784315,0.0573318853039,0.155642746454,-0.889219309584,0.0563157801095,-0.4702739,170.0202,-15.63276,69.79402,-15.60484,69.77844,-1.002438,176.3762,8117A_E1.0_B8_1,193.6625
-0.932657367469,0.164962940326,0.057491847658,0.155961517556,0.0577261628975,0.156416440726,-0.888903170879,0.0581013101794,-0.4717728,169.9696,-15.5863,69.76468,-15.5598,69.7432,-1.004396,176.2603,8117A_E1.0_B8_1,194.03125
-0.932235315607,0.165809646294,0.0578795566795,0.156735474628,0.0581075520393,0.157207635786,-0.888587674088,0.0598954241094,-0.4742281,169.9147,-15.54146,69.73173,-15.51437,69.71453,-1.006307,176.1438,8117A_E1.0_B8_1,194.4
-0.931908142209,0.166640909504,0.058262128759,0.157516433525,0.0584892224901,0.157972341699,-0.888236493365,0.061625516878,-0.4758441,169.8617,-15.4966,69.70159,-15.47045,69.68294,-1.008573,176.0312,8117A_E1.0_B8_1,194.76875
-0.931584429134,0.167365044654,0.0586428238397,0.158271728846,0.0588808784508,0.158765951839,-0.887846421485,0.063448490072,-0.4775956,169.8151,-15.45324,69.66933,-15.42518,69.6519,-1.01112,175.9124,8117A_E1.0_B8_1,195.1375
-0.931239500127,0.168189090224,0.0590315973513,0.159052621775,0.0592580530252,0.159561433231,-0.88747986494,0.065217609187,-0.4793704,169.7623,-15.40872,69.63784,-15.38031,69.62597,-1.01344,175.7971,8117A_E1.0_B8_1,195.50625
-0.930821050506,0.168999425941,0.0594133012534,0.159836445248,0.0596361626353,0.1603380502,-0.887176625498,0.0670248166384,-0.4818248,169.7095,-15.36441,69.60924,-15.33655,69.59781,-1.015081,175.6796,8117A_E1.0_B8_1,195.875
-0.930568115311,0.169755558696,0.0597916295816,0.160631268915,0.0600440147113,0.161132681332,-0.886764432676,0.0688353403818,-0.4828666,169.6617,-15.31986,69.58327,-15.29163,69.56274,-1.017744,175.5613,8117A_E1.0_B8_1,196.24375
-0.930203137819,0.170593327022,0.0601817238478,0.161401927893,0.0604297590324,0.16191449344,-0.886406484185,0.0705821193454,-0.4847794,169.6078,-15.27647,69.55109,-15.24793,69.53341,-1.019892,175.4473,8117A_E1.0_B8_1,196.6125
-0.929725172616,0.171295776414,0.0605922169131,0.162185668909,0.060818874434,0.162690061001,-0.886077906099,0.072342879198,-0.4879311,169.5607,-15.23232,69.51442,-15.20468,69.50261,-1.021709,175.3325,8117A_E1.0_B8_1,196.98125
-0.929503812008,0.172147500572,0.0609808722661,0.162958541099,0.061229038712,0.163484181055,-0.885680323819,0.0741422675787,-0.4885096,169.5075,-15.18928,69.4836,-15.16041,69.46778,-1.024132,175.2148,8117A_E1.0_B8_1,197.35
-0.929139072714,0.173031140201,0.0613750900472,0.163753617755,0.0616669645373,0.164288625829,-0.885263358959,0.0758611568353,-0.4903223,169.4508,-15.14532,69.45393,-15.1154,69.426,-1.026775,175.1021,8117A_E1.0_B8_1,197.71875
-0.928838394332,0.173753553896,0.061783498639,0.164538159155,0.062056408939,0.165082828056,-0.884931069481,0.0776190928121,-0.4918207,169.4044,-15.10182,69.41902,-15.07193,69.39822,-1.028527,174.9873,8117A_E1.0_B8_1,198.0875
-0.928452148156,0.174613971168,0.0621856591699,0.165309268959,0.062461193739,0.165855216878,-0.884552052231,0.0793674532342,-0.4938524,169.3488,-15.05926,69.38482,-15.02941,69.36359,-1.030708,174.8728,8117A_E1.0_B8_1,198.45625
-0.928140923565,0.175432769956,0.0625991572959,0.166080134061,0.0628766296352,0.166651727519,-0.884152625553,0.0811612933683,-0.4952696,169.2965,-15.01672,69.3475,-14.98581,69.32883,-1.033013,174.7552,8117A_E1.0_B8_1,198.825
-0.927742925849,0.176174405015,0.0630093888324,0.166873605518,0.0632947915605,0.167430565275,-0.883750426227,0.0829212329454,-0.4975963,169.2478,-14.97341,69.31409,-14.94318,69.2916,-1.03534,174.6397,8117A_E1.0_B8_1,199.19375
-0.927387251401,0.177020974347,0.0634213736456,0.167650129667,0.0637208879218,0.168233517184,-0.883350392801,0.0847006510001,-0.4993539,169.1933,-14.93105,69.27857,-14.89953,69.25509,-1.037593,174.5229,8117A_E1.0_B8_1,199.5625
-0.926976288317,0.177890115288,0.0638583601109,0.168431642713,0.0641561829643,0.168987225255,-0.882941936241,0.0864565272946,-0.5015645,169.1368,-14.88824,69.23652,-14.85815,69.21068,-1.039915,174.4075,8117A_E1.0_B8_1,199.93125
-0.926708568086,0.178640461869,0.0642928992628,0.169219332618,0.0645734440804,0.169824340053,-0.882542037361,0.0882185288577,-0.5026797,169.089,-14.8454,69.1963,-14.81354,69.18136,-1.042113,174.2917,8117A_E1.0_B8_1,200.3
-0.926307389972,0.179483854247,0.0647046808669,0.169987363158,0.0650130652089,0.170608973309,-0.882105765989,0.0899790268445,-0.5048322,169.0341,-14.80403,69.16097,-14.77111,69.13992,-1.044632,174.1757,8117A_E1.0_B8_1,200.66875
-0.925928320439,0.180242198913,0.0651078489238,0.170763921434,0.0654415164532,0.17139135539,-0.881633011484,0.0917362445241,-0.5069271,168.9845,-14.76262,69.12945,-14.72917,69.10189,-1.047475,174.0596,8117A_E1.0_B8_1,201.0375
-0.925562804337,0.181026274079,0.0655532815544,0.171556107858,0.0658545566638,0.172172310626,-0.881241874025,0.0934931698695,-0.508848,168.9335,-14.72,69.08765,-14.68775,69.06854,-1.049488,173.944,8117A_E1.0_B8_1,201.40625
-0.925187135032,0.181829778827,0.0659933048275,0.1723377058,0.0663043570201,0.172953648432,-0.880792887299,0.095219684773,-0.5108197,168.8812,-14.67814,69.04665,-14.64589,69.02493,-1.052062,173.8299,8117A_E1.0_B8_1,201.775
-0.924824411028,0.182653890283,0.0664284420919,0.173109891972,0.0667281056047,0.173735945938,-0.880371781874,0.0969420042555,-0.5126308,168.8278,-14.63697,69.00641,-14.60462,68.98933,-1.054335,173.7162,8117A_E1.0_B8_1,202.14375
-0.924401893875,0.183467438751,0.0668548462775,0.173887733842,0.0671874440953,0.174512892591,-0.879955252385,0.0986732487283,-0.5149942,168.7743,-14.59589,68.96968,-14.56318,68.9433,-1.05652,173.6019,8117A_E1.0_B8_1,202.5125
-0.924006316944,0.184227183816,0.0673135190193,0.174653600962,0.0676340333409,0.175301743521,-0.879470209421,0.100409779265,-0.5172041,168.7243,-14.55498,68.92276,-14.52163,68.90264,-1.059333,173.4867,8117A_E1.0_B8_1,202.88125
-0.923652247499,0.185048472593,0.0677743556719,0.1754535905,0.0680917617376,0.176095224729,-0.879023503894,0.102180709632,-0.5189212,168.6711,-14.51275,68.87941,-14.47989,68.85972,-1.061699,173.3695,8117A_E1.0_B8_1,203.25
-0.923256259805,0.18575366509,0.0682153833815,0.176212474774,0.068521693071,0.176855090684,-0.878562965393,0.103910146788,-0.5212214,168.6243,-14.47281,68.83758,-14.44024,68.82137,-1.064212,173.2548,8117A_E1.0_B8_1,203.61875
-0.922850015136,0.186610606412,0.0686560014943,0.17698530751,0.0689717334603,0.177637184743,-0.87812788825,0.105657169912,-0.5233318,168.5683,-14.43246,68.79777,-14.39949,68.78015,-1.066422,173.1391,8117A_E1.0_B8_1,203.9875
-0.92246401987,0.187464501529,0.0691015383916,0.177773483413,0.0694458086992,0.17843087856,-0.87764099205,0.107375177646,-0.5252569,168.5127,-14.39156,68.75862,-14.35804,68.73387,-1.069137,173.0248,8117A_E1.0_B8_1,204.35625
-0.922100797454,0.188139904023,0.0695772480281,0.178540378888,0.0699033624689,0.179220111715,-0.87717661219,0.109113537232,-0.5272978,168.468,-14.35125,68.70912,-14.31724,68.69213,-1.071574,172.9093,8117A_E1.0_B8_1,204.725
-0.921687722003,0.188984097522,0.0700174470501,0.179323518718,0.0703581667171,0.179989067337,-0.87668993495,0.110820094636,-0.5294719,168.4126,-14.31102,68.67168,-14.27752,68.64935,-1.074233,172.7956,8117A_E1.0_B8_1,205.09375
-0.921317034453,0.189767834728,0.0704995910058,0.180088852809,0.0708170855789,0.180780801672,-0.876204895605,0.112594184862,-0.5313677,168.3613,-14.27103,68.62109,-14.23696,68.60828,-1.076758,172.6775,8117A_E1.0_B8_1,205.4625
-0.920934643711,0.190545423373,0.0709593392121,0.180860490542,0.0712907873522,0.18154897886,-0.875718830366,0.114269149865,-0.5333743,168.3102,-14.23132,68.57779,-14.19732,68.56102,-1.079383,172.5657,8117A_E1.0_B8_1,205.83125
-0.920502450789,0.191339082003,0.0714292929444,0.181632360387,0.0717713904726,0.182319391081,-0.875218912955,0.116029834833,-0.5357947,168.2575,-14.19161,68.53212,-14.15765,68.51255,-1.082,172.4482,8117A_E1.0_B8_1,206.2
-0.92019262538,0.192191323899,0.0719019284132,0.182394566586,0.0722553046511,0.183099318982,-0.874765258722,0.117730370468,-0.5369909,168.2028,-14.15243,68.4851,-14.11771,68.46464,-1.084209,172.3349,8117A_E1.0_B8_1,206.56875
-0.919803723158,0.192921129918,0.072359430614,0.183189086195,0.0727094693015,0.183870861033,-0.874289407201,0.119454963963,-0.5391269,168.1544,-14.11234,68.44605,-14.07877,68.42429,-1.086569,172.2198,8117A_E1.0_B8_1,206.9375
-0.919421435515,0.193764217419,0.0728537423424,0.183939637729,0.0731976577487,0.184628906479,-0.873750673669,0.121199403744,-0.5409815,168.0993,-14.07363,68.39276,-14.04,68.37374,-1.089481,172.1028,8117A_E1.0_B8_1,207.30625
-0.918885202625,0.19448047793,0.0733247813332,0.184724892316,0.0736922094414,0.185415705005,-0.873264192322,0.122887814729,-0.544464,168.0498,-14.03405,68.34987,-14.00013,68.32499,-1.091925,171.9898,8117A_E1.0_B8_1,207.675
-0.918512496954,0.195279422548,0.0738049451874,0.18550218125,0.0741788969595,0.186184423545,-0.872720951356,0.124587347082,-0.5463027,167.9974,-13.99482,68.30409,-13.96129,68.27686,-1.094874,171.8755,8117A_E1.0_B8_1,208.04375
-0.918126145527,0.19601308864,0.0742831600319,0.186268339249,0.07465993975,0.186957314488,-0.872223922738,0.126331227004,-0.5483841,167.9487,-13.95624,68.25806,-13.92254,68.23109,-1.097276,171.7587,8117A_E1.0_B8_1,208.4125
-0.917695813174,0.196830753867,0.0747680220593,0.187048699851,0.0751437324302,0.187733032593,-0.871696625019,0.127998168764,-0.5506947,167.8944,-13.91715,68.21218,-13.8838,68.1853,-1.100048,171.6465,8117A_E1.0_B8_1,208.78125
-0.917299613976,0.197574876534,0.0752763791502,0.187803574887,0.075626068359,0.188508492157,-0.871186806837,0.129696135106,-0.5528326,167.8449,-13.87887,68.15785,-13.84526,68.14027,-1.102572,171.5324,8117A_E1.0_B8_1,209.15
-0.916823899782,0.198381795384,0.075754398715,0.188587540468,0.0761349186986,0.189262021661,-0.870635642725,0.131447450453,-0.5555612,167.7906,-13.84008,68.11499,-13.80733,68.08643,-1.105387,171.4144,8117A_E1.0_B8_1,209.51875
-0.916509511845,0.199124376951,0.07627858268,0.189351083008,0.0766449690136,0.190049339885,-0.870084232972,0.133091864931,-0.5569493,167.7422,-13.80153,68.05835,-13.76821,68.03628,-1.108328,171.3032,8117A_E1.0_B8_1,209.8875
-0.916114105848,0.199944503643,0.076777618791,0.190125851168,0.0771554696058,0.190811140922,-0.869528310537,0.134805903056,-0.5589115,167.6881,-13.7631,68.0099,-13.73025,67.9838,-1.111176,171.1874,8117A_E1.0_B8_1,210.25625
-0.915705036019,0.200643977057,0.0772633875578,0.190882538447,0.0776391306939,0.191581201116,-0.869002947525,0.136526677075,-0.5612294,167.641,-13.72575,67.96341,-13.69255,67.93953,-1.113681,171.0714,8117A_E1.0_B8_1,210.625
-0.9151573832,0.201456560188,0.0777738910679,0.191670929763,0.0781519205319,0.192360270269,-0.86844781885,0.138216813945,-0.5645712,167.5853,-13.68693,67.91427,-13.6542,67.88913,-1.116489,170.957,8117A_E1.0_B8_1,210.99375
-0.914675269826,0.202254454281,0.0782955348454,0.192439202779,0.0786810018193,0.193110717797,-0.86790030956,0.139885278275,-0.5673421,167.5313,-13.64888,67.86063,-13.61686,67.83206,-1.119223,170.844,8117A_E1.0_B8_1,211.3625
-0.914206837877,0.20300290794,0.078793068717,0.193199887007,0.0791884987184,0.193876007893,-0.867333603755,0.141608566976,-0.5700817,167.4804,-13.61166,67.8128,-13.57944,67.78248,-1.122024,170.7272,8117A_E1.0_B8_1,211.73125
-0.913835897102,0.20375582123,0.0792927856698,0.193982949247,0.0796794023699,0.194653431535,-0.866761530336,0.143315816981,-0.5719235,167.4305,-13.5737,67.76714,-13.54197,67.73876,-1.124868,170.6113,8117A_E1.0_B8_1,212.1
-0.913328189221,0.204576526827,0.0798048839187,0.194732126837,0.0802296567856,0.195411123369,-0.866195373271,0.144979368256,-0.5748601,167.3747,-13.537,67.71526,-13.50448,67.67849,-1.127691,170.4982,8117A_E1.0_B8_1,212.46875
-0.912904472971,0.205291628994,0.0803247970566,0.195503278716,0.0807252496983,0.196180793949,-0.865609167383,0.14666325307,-0.5772439,167.3263,-13.49949,67.66412,-13.46754,67.63362,-1.130643,170.3835,8117A_E1.0_B8_1,212.8375
-0.912544742625,0.206086014631,0.0808500911589,0.196270481818,0.0812432338654,0.196942056244,-0.865070962368,0.148349501872,-0.5788805,167.274,-13.4622,67.61167,-13.43072,67.5827,-1.133089,170.2691,8117A_E1.0_B8_1,213.20625
-0.912117290417,0.206847973704,0.0813623214134,0.197032783121,0.0818003639694,0.197696952065,-0.864504378001,0.150022059363,-0.5811901,167.2227,-13.42545,67.56241,-13.39368,67.52187,-1.135801,170.1552,8117A_E1.0_B8_1,213.575
-0.911614069462,0.207578834111,0.0819035419019,0.197786242747,0.0823033041558,0.198471586245,-0.863943891962,0.151675936391,-0.5842438,167.1722,-13.38873,67.50549,-13.35689,67.47692,-1.138452,170.0425,8117A_E1.0_B8_1,213.94375
-0.911232915461,0.208360438738,0.082431187696,0.198574446623,0.0828307487816,0.199231996425,-0.863308459189,0.153396264314,-0.5860809,167.1203,-13.35107,67.45594,-13.3204,67.42489,-1.141686,169.9246,8117A_E1.0_B8_1,214.3125
-0.910763842162,0.209151610495,0.0829743202913,0.199343985029,0.083353907497,0.200000559596,-0.862737745341,0.155069357829,-0.5886878,167.0666,-13.31402,67.40112,-13.28382,67.37517,-1.144336,169.8104,8117A_E1.0_B8_1,214.68125
-0.910251732953,0.209882122854,0.083519380437,0.20009972123,0.0838941912706,0.200759712628,-0.86209596209,0.156714465016,-0.5918045,167.0159,-13.2776,67.34489,-13.24747,67.32075,-1.147695,169.6971,8117A_E1.0_B8_1,215.05
-0.909842506758,0.210709462111,0.0840566573805,0.200873492968,0.084451168636,0.201527792413,-0.861536391774,0.158418409418,-0.5937801,166.9608,-13.24078,67.29285,-13.21068,67.26365,-1.150114,169.5809,8117A_E1.0_B8_1,215.41875
-0.909335791472,0.211431733192,0.0845882471428,0.20162612754,0.0849991495722,0.202297094501,-0.860911835405,0.160106159659,-0.5968529,166.9106,-13.20497,67.24048,-13.17413,67.20932,-1.153161,169.4649,8117A_E1.0_B8_1,215.7875
-0.908820100113,0.212213203247,0.085124082372,0.202405766909,0.0855363961813,0.203055928571,-0.860312872002,0.161783472951,-0.5998762,166.8567,-13.16825,67.19025,-13.13827,67.15696,-1.155943,169.3498,8117A_E1.0_B8_1,216.15625
-0.908351585607,0.21297333083,0.0856802329066,0.203155020298,0.0860954055131,0.203818851117,-0.859694046818,0.163448096798,-0.6025106,166.8047,-13.13247,67.13251,-13.10207,67.10025,-1.158908,169.2352,8117A_E1.0_B8_1,216.525
-0.907914706562,0.213767138061,0.0862265378543,0.203939103449,0.0866366559621,0.204574346216,-0.859068928443,0.165090089617,-0.60478,166.7511,-13.09572,67.0811,-13.06655,67.04748,-1.161943,169.1219,8117A_E1.0_B8_1,216.89375
-0.907430570177,0.214557665664,0.0867905820393,0.204696702478,0.0872124628462,0.205336020977,-0.858439487786,0.166754894742,-0.6074778,166.697,-13.0598,67.02325,-13.03042,66.98759,-1.164944,169.007,8117A_E1.0_B8_1,217.2625
-0.907005593087,0.215293116777,0.0873399655017,0.205476431573,0.0877706490637,0.206079420333,-0.857785119277,0.168424461506,-0.6097509,166.647,-13.02345,66.97156,-12.99535,66.93051,-1.168145,168.8914,8117A_E1.0_B8_1,217.63125
