S11R,S11I,S12R,S12I,S21R,S21I,S22R,S22I,S11_Mag,S11_Ang,S12_Mag,S12_Ang,S21_Mag,S21_Ang,S22_Mag,S22_Ang,sourcefile,MHz
-0.745354733069,-0.144610943513,0.261803076818,-0.0743750530547,0.262284735055,-0.0741717349287,-0.569799719268,-0.475157217309,-2.392263,-169.0201,-11.30343,-15.8592,-11.29042,-15.79042,-2.592852,-140.1752,8117A_E1.0_B20_1,100.0
-0.758239495967,-0.148193162358,0.251240157705,-0.0810223300916,0.251722652499,-0.080828607032,-0.578805645422,-0.481785900184,-2.241069,-168.9413,-11.56853,-17.87397,-11.55538,-17.80192,-2.463146,-140.2267,8117A_E1.0_B20_1,100.36875
-0.770426947946,-0.150661678115,0.240887751196,-0.0863944300939,0.241418204324,-0.0862372542496,-0.587784386009,-0.487177517685,-2.102384,-168.9351,-11.83819,-19.73038,-11.82305,-19.65729,-2.344563,-140.3468,8117A_E1.0_B20_1,100.7375
-0.782115452111,-0.152049092855,0.230880953394,-0.0907151569611,0.23139867819,-0.0905622943708,-0.596769132523,-0.491583499663,-1.97347,-168.9985,-12.10876,-21.4503,-12.09385,-21.37384,-2.23453,-140.5203,8117A_E1.0_B20_1,101.10625
-0.793031865215,-0.152594729362,0.22124318768,-0.0940702446748,0.221714050993,-0.0939541948387,-0.605682276059,-0.495067693307,-1.856294,-169.1083,-12.38089,-23.03468,-12.36688,-22.96543,-2.13289,-140.7384,8117A_E1.0_B20_1,101.475
-0.803348250959,-0.152430368756,0.21197255834,-0.0966076261676,0.212474343542,-0.0965042418473,-0.614484277689,-0.497608435557,-1.748314,-169.2562,-12.65477,-24.50138,-12.63935,-24.42719,-2.039775,-140.9995,8117A_E1.0_B20_1,101.84375
-0.812943817023,-0.151609685081,0.20318900559,-0.0984444679433,0.203677610715,-0.0983376968493,-0.622933344397,-0.499526211435,-1.650308,-169.436,-12.92625,-25.85005,-12.91113,-25.77174,-1.954705,-141.2741,8117A_E1.0_B20_1,102.2125
-0.8219359191,-0.150344901141,0.194825315417,-0.0996749685655,0.195307679292,-0.0995871087105,-0.631233207044,-0.500720186013,-1.560312,-169.6343,-13.19737,-27.09483,-13.18192,-27.01697,-1.876375,-141.5771,8117A_E1.0_B20_1,102.58125
-0.830250123981,-0.148727438928,0.186918532639,-0.100417587704,0.187377573481,-0.100329878291,-0.639231825426,-0.501421783201,-1.478647,-169.844,-13.46573,-28.24587,-13.45088,-28.16648,-1.80429,-141.8889,8117A_E1.0_B20_1,102.95
-0.838080686124,-0.146720720562,0.179436492598,-0.100695269305,0.179897330645,-0.100621214042,-0.646874940543,-0.501541636972,-1.403177,-170.07,-13.7328,-29.30005,-13.71737,-29.21941,-1.739309,-142.2125,8117A_E1.0_B20_1,103.31875
