S11R,S11I,S12R,S12I,S21R,S21I,S22R,S22I,S11_Mag,S11_Ang,S12_Mag,S12_Ang,S21_Mag,S21_Ang,S22_Mag,S22_Ang,sourcefile,MHz
-0.800782010428,-0.15934211037,0.216521296533,-0.102730607356,0.216986043024,-0.10256920331,-0.60918521308,-0.501630913685,-1.761075,-168.7461,-12.40823,-25.38245,-12.39552,-25.30008,-2.056931,-140.5304,8117A_E1.0_B20_2,100.0
-0.810682909464,-0.158454650869,0.20746774422,-0.104562407359,0.207916979597,-0.104427072189,-0.618083068153,-0.503573737883,-1.660153,-168.9405,-12.67798,-26.74781,-12.66526,-26.66826,-1.968071,-140.8291,8117A_E1.0_B20_2,100.36875
-0.819806648572,-0.157190359023,0.198885153031,-0.105752495654,0.199372181998,-0.105652638723,-0.626543211152,-0.504784350006,-1.56897,-169.1458,-12.94659,-28.00076,-12.93182,-27.92031,-1.888517,-141.1428,8117A_E1.0_B20_2,100.7375
-0.828416516478,-0.155427549959,0.190794023119,-0.106472465906,0.191239551154,-0.106379886041,-0.634719752309,-0.505486900634,-1.484777,-169.3737,-13.21129,-29.16367,-13.19762,-29.08566,-1.815193,-141.4664,8117A_E1.0_B20_2,101.10625
-0.836350172193,-0.153412976313,0.183126326035,-0.10673920114,0.183535492452,-0.106652255336,-0.642601900397,-0.505697809161,-1.408514,-169.6057,-13.47478,-30.23671,-13.46209,-30.16082,-1.747898,-141.7989,8117A_E1.0_B20_2,101.475
-0.843833822467,-0.151131883927,0.175867349582,-0.106626807141,0.176304248531,-0.106551207107,-0.650261667792,-0.505395175906,-1.337739,-169.8459,-13.73674,-31.22806,-13.72262,-31.14708,-1.686009,-142.145,8117A_E1.0_B20_2,101.84375
-0.850687828428,-0.148606493086,0.169061863133,-0.106212035647,0.169480959109,-0.106148709437,-0.657507262172,-0.50473277233,-1.274046,-170.091,-13.99431,-32.13883,-13.98034,-32.05959,-1.629984,-142.4885,8117A_E1.0_B20_2,102.2125
-0.857178295392,-0.14597514807,0.162620681417,-0.105542028652,0.163033549394,-0.105482838937,-0.664538636445,-0.503776403022,-1.214418,-170.3354,-14.2499,-32.98387,-14.23583,-32.9029,-1.577639,-142.8348,8117A_E1.0_B20_2,102.58125
-0.863151902349,-0.14325452591,0.156559943352,-0.104656615375,0.156953241342,-0.104603614875,-0.671244632372,-0.502559068162,-1.160247,-170.5767,-14.50212,-33.76179,-14.4884,-33.68201,-1.529613,-143.1779,8117A_E1.0_B20_2,102.95
-0.868732988582,-0.140411529114,0.150837345037,-0.103580445595,0.151240329967,-0.103522105661,-0.677670842818,-0.501032843993,-1.110277,-170.8188,-14.75204,-34.4775,-14.73784,-34.39115,-1.485755,-143.5228,8117A_E1.0_B20_2,103.31875
-0.873930047377,-0.137535211522,0.145462006034,-0.102351436449,0.145839979241,-0.102316469041,-0.683814834173,-0.499377973122,-1.064215,-171.0564,-14.99832,-35.13137,-14.98421,-35.05222,-1.444923,-143.86,8117A_E1.0_B20_2,103.6875
-0.87878383165,-0.134656481154,0.140382411081,-0.101000141122,0.14074505675,-0.100971444932,-0.689671592368,-0.497439777522,-1.021567,-171.2883,-15.24209,-35.73367,-15.22815,-35.65591,-1.408057,-144.1982,8117A_E1.0_B20_2,104.05625
-0.883303072129,-0.131682719992,0.135587899164,-0.0995510926597,0.135946045472,-0.0995343067302,-0.695347623067,-0.49539726781,-0.982341,-171.5208,-15.48298,-36.28679,-15.46859,-36.21011,-1.373161,-144.5322,8117A_E1.0_B20_2,104.425
-0.887464788438,-0.128755345424,0.131061191575,-0.0980152989427,0.131414779572,-0.0980025899279,-0.700763635693,-0.493205074254,-0.9465122,-171.745,-15.72124,-36.79131,-15.70662,-36.71374,-1.341141,-144.8617,8117A_E1.0_B20_2,104.79375
-0.891489293732,-0.125834924814,0.126783419347,-0.0964163499377,0.127123217614,-0.096397073737,-0.70599372844,-0.490945271583,-0.9120005,-171.9657,-15.95677,-37.25229,-15.94266,-37.17291,-1.310886,-145.1854,8117A_E1.0_B20_2,105.1625
-0.895196041128,-0.122887657939,0.122733164975,-0.0947758839834,0.123068476537,-0.0947638520987,-0.711045418939,-0.488523546436,-0.8805587,-172.1836,-16.18959,-37.67571,-16.17514,-37.5966,-1.282865,-145.509,8117A_E1.0_B20_2,105.53125
-0.898660947556,-0.11996603762,0.118900147051,-0.0930891947737,0.119223889479,-0.0930688861597,-0.715827319851,-0.486059443242,-0.8513698,-172.3963,-16.42011,-38.05807,-16.40617,-37.97641,-1.257139,-145.8228,8117A_E1.0_B20_2,105.9
-0.901930438047,-0.117124304321,0.115260416828,-0.091360569625,0.115582788634,-0.0913609815755,-0.720438055277,-0.48345020125,-0.8239125,-172.601,-16.64909,-38.40192,-16.63416,-38.32417,-1.233463,-146.1364,8117A_E1.0_B20_2,106.26875
-0.904982832187,-0.11430345296,0.11182531205,-0.0896014022795,0.112149956201,-0.0895881105604,-0.724881900151,-0.480830256354,-0.7984577,-172.8014,-16.87541,-38.70388,-16.86056,-38.61871,-1.211041,-146.4428,8117A_E1.0_B20_2,106.6375
-0.907929947532,-0.111468520268,0.1085682523,-0.0878499985679,0.108866611919,-0.087836125455,-0.729122121314,-0.478135311984,-0.7739804,-173.0007,-17.09861,-38.97869,-17.08473,-38.8974,-1.190536,-146.7444,8117A_E1.0_B20_2,107.00625
-0.910555886767,-0.108727117758,0.105457117438,-0.0860603817124,0.105746128597,-0.0860525599965,-0.733278602813,-0.475376495434,-0.7523829,-173.1907,-17.32181,-39.21685,-17.30784,-39.13751,-1.170884,-147.0451,8117A_E1.0_B20_2,107.375
-0.913157770701,-0.105996758985,0.102504310038,-0.0842844335044,0.102784942503,-0.0842889254188,-0.737290275739,-0.472659868807,-0.7309579,-173.3789,-17.54216,-39.42884,-17.52779,-39.35351,-1.152022,-147.337,8117A_E1.0_B20_2,107.74375
